iter	Logloss
0	0.6929567074
1	0.6928437198
2	0.6927158402
3	0.6925964431
4	0.6924759121
5	0.6923757438
6	0.6922600304
7	0.6921385462
8	0.6920247277
9	0.6919406565
10	0.6918563007
11	0.6917645036
12	0.6916719896
13	0.6915829666
14	0.6915222383
15	0.6914427025
16	0.6913720928
17	0.691289168
18	0.691212999
19	0.6911568834
20	0.6911027241
21	0.6910211218
22	0.6909553113
23	0.690903626
24	0.6908015212
25	0.6907372124
26	0.6906747853
27	0.6906005882
28	0.6905199773
29	0.6904620236
30	0.6903936841
31	0.6903206
32	0.6902513814
33	0.6901955538
34	0.6901270735
35	0.6900587678
36	0.6899972118
37	0.6899531978
38	0.689884993
39	0.6898344451
40	0.6897803302
41	0.6897241539
42	0.6896547008
43	0.6895814289
44	0.6895256929
45	0.6894836353
46	0.6893989576
47	0.6893262823
48	0.6892906671
49	0.6892343231
50	0.6891844229
51	0.68913223
52	0.6890697155
53	0.689003639
54	0.6889338574
55	0.6888564115
56	0.6888018281
57	0.6887520091
58	0.6886865766
59	0.6886357095
60	0.6885902052
61	0.6885268914
62	0.6884836951
63	0.6883997652
