iter	Passed	Remaining
0	19	2886
1	34	2584
2	50	2455
3	64	2357
4	78	2266
5	94	2262
6	111	2277
7	126	2254
8	145	2276
9	160	2246
10	175	2220
11	189	2184
12	205	2160
13	222	2162
14	237	2139
15	253	2127
16	268	2102
17	284	2085
18	299	2066
19	314	2042
20	330	2028
21	345	2011
22	360	1990
23	374	1968
24	389	1946
25	403	1925
26	416	1899
27	432	1886
28	449	1874
29	464	1856
30	480	1844
31	497	1834
32	513	1820
33	528	1802
34	543	1785
35	558	1769
36	576	1759
37	590	1741
38	608	1730
39	623	1715
40	638	1697
41	653	1680
42	666	1658
43	681	1641
44	694	1620
45	709	1604
46	724	1588
47	740	1572
48	756	1558
49	769	1539
50	787	1527
51	802	1512
52	818	1498
53	833	1482
54	848	1465
55	864	1450
56	880	1436
57	898	1425
58	914	1411
59	930	1395
60	947	1382
61	961	1365
62	977	1349
63	993	1335
